id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
25620,370,43,"2021-03-12 10:14:03-05",-79.91215,-2.188781,13.523,1.992,6.788,0101000020E6100000F8C264AA60FA53C073D9E89C9F8201C0,C
29029,374,1239,"2021-03-12 11:17:01-05",-79.904519,-2.160342,12.405,2.001,6.199,0101000020E610000014E7A8A3E3F953C0E066F162614801C0,V
19523,340,348,"2021-03-12 05:09:58-05",-79.903233,-2.199866,6.213,1.745,3.56,0101000020E6100000C0EAC891CEF953C0A0A86C58539901C0,C
37879,393,988,"2021-03-22 01:53:42-05",-80.368149,-2.403194,33.601,1.996,16.834,0101000020E610000087C3D2C08F1754C0228C9FC6BD3903C0,M
11002,107,6,"2021-02-14 14:50:10-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,O
36171,394,65,"2021-03-22 01:53:42-05",-80.087259,-2.220477,22.146,1.995,11.101,0101000020E610000007D2C5A6950554C05A29047289C301C0,M
22476,357,269,"2021-03-12 08:22:03-05",-79.897701,-2.202359,1.079,1.929,0.559,0101000020E61000008925E5EE73F953C0FD6838656E9E01C0,C
17415,329,319,"2021-03-12 02:59:25-05",-79.87392,-2.094966,37.287,1.96,19.024,0101000020E610000080D4264EEEF753C001DBC1887DC200C0,V
26842,374,144,"2021-03-12 11:17:01-05",-79.899849,-2.238917,34.629,1.988,17.419,0101000020E6100000A795422097F953C0DEAAEB504DE901C0,V
29048,375,1175,"2021-03-12 11:17:01-05",-79.905732,-2.150472,26.156,2.005,13.045,0101000020E610000034BC5983F7F953C0AFB5F7A92A3401C0,V
